,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
15,"Gross USA: $40,216,961",6.8,"PG, 1 hr 42 min
Action/Adventure, Animated, Comedy, Family",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Directors:: Nick Bruno, Troy Quane, Writers:: Brad Copeland, Lloyd Taylor, Stars:: Rachel Brosnahan, Jarrett Bruno, Claire Crosby, See full cast & crew, ",0.0,$12.25,8:00p,SPIES IN DISGUISE5
16,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," RealD 3D, Reserved seating, Closed caption, Accessibility devices available, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.018957345971563982,$9.91,11:00a,STAR WARS: THE RISE OF SKYWALKER (2019)1
17,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," RealD 3D, Reserved seating, Closed caption, Accessibility devices available, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.0,$15.98,6:00p,STAR WARS: THE RISE OF SKYWALKER (2019)2
18,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," RealD 3D, Reserved seating, Closed caption, Accessibility devices available, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.0,$15.98,9:30p,STAR WARS: THE RISE OF SKYWALKER (2019)3
19,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »,," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",,,,STAR WARS: THE RISE OF SKYWALKER (2019)4
20,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.1076923076923077,$10.65,12:45p,STAR WARS: THE RISE OF SKYWALKER (2019)5
21,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.11848341232227488,$10.65,2:30p,STAR WARS: THE RISE OF SKYWALKER (2019)6
22,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.11923076923076924,$12.25,4:00p,STAR WARS: THE RISE OF SKYWALKER (2019)7
23,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.011538461538461539,$12.25,7:15p,STAR WARS: THE RISE OF SKYWALKER (2019)8
24,"Gross USA: $21,834,144",6.7,"R, 1 hr 48 min
Comedy, Drama",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jay Roach, Writer:: Charles Randolph, Stars:: Charlize Theron, Nicole Kidman, Margot Robbie, See full cast & crew, ",0.09375,$6.17,10:30a,BOMBSHELL (2019)1
