,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
17,"Gross USA: $31,511,019",8.0,"R, 2 hr 15 min
Comedy, Drama, Suspense/Thriller",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Directors:: Benny Safdie, Josh Safdie, Writers:: Ronald Bronstein, Josh Safdie, 1 more credit, Stars:: Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, See full cast & crew, ",0.24503311258278146,$15.49,6:40p,UNCUT GEMS3
18,"Gross USA: $31,511,019",8.0,"R, 2 hr 15 min
Comedy, Drama, Suspense/Thriller",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Directors:: Benny Safdie, Josh Safdie, Writers:: Ronald Bronstein, Josh Safdie, 1 more credit, Stars:: Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, See full cast & crew, ",0.011787819253438114,$15.49,9:45p,UNCUT GEMS4
19,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.2777777777777778,$7.79,12:15p,KNIVES OUT1
20,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.5432098765432098,$15.49,3:15p,KNIVES OUT2
21,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.38271604938271603,$15.49,6:20p,KNIVES OUT3
22,"Gross USA: $124,171,694",8.1,"PG-13, 2 hr 11 min
Comedy, Suspense/Thriller",Release Date: 27 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Rian Johnson, Writer:: Rian Johnson, Stars:: Daniel Craig, Chris Evans, Ana de Armas, See full cast & crew, ",0.012345679012345678,$15.49,9:25p,KNIVES OUT4
23,"Gross USA: $442,512,364",7.2,"PG, 1 hr 44 min
Animated, Comedy, Family",Release Date: 22 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Directors:: Chris Buck, Jennifer Lee, Writers:: Jennifer Lee, Jennifer Lee, 4 more credits, Stars:: Kristen Bell, Idina Menzel, Josh Gad, See full cast & crew, ",0.0,$7.79,12:45p,FROZEN II1
24,"Gross USA: $442,512,364",7.2,"PG, 1 hr 44 min
Animated, Comedy, Family",Release Date: 22 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Directors:: Chris Buck, Jennifer Lee, Writers:: Jennifer Lee, Jennifer Lee, 4 more credits, Stars:: Kristen Bell, Idina Menzel, Josh Gad, See full cast & crew, ",0.0,$15.49,3:45p,FROZEN II2
25,"Gross USA: $108,834,840",8.3,"PG-13, 2 hr 32 min
Action/Adventure, Drama",Release Date: 15 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: James Mangold, Writers:: Jez Butterworth, John-Henry Butterworth, 1 more credit, Stars:: Matt Damon, Christian Bale, Jon Bernthal, See full cast & crew, ",0.45614035087719296,$15.49,2:45p,FORD V FERRARI1
26,"Gross USA: $108,834,840",8.3,"PG-13, 2 hr 32 min
Action/Adventure, Drama",Release Date: 15 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: James Mangold, Writers:: Jez Butterworth, John-Henry Butterworth, 1 more credit, Stars:: Matt Damon, Christian Bale, Jon Bernthal, See full cast & crew, ",0.3684210526315789,$15.49,6:10p,FORD V FERRARI2
27,"Gross USA: $108,834,840",8.3,"PG-13, 2 hr 32 min
Action/Adventure, Drama",Release Date: 15 November 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: James Mangold, Writers:: Jez Butterworth, John-Henry Butterworth, 1 more credit, Stars:: Matt Damon, Christian Bale, Jon Bernthal, See full cast & crew, ",0.07017543859649122,$15.49,9:30p,FORD V FERRARI3
28,"Gross USA: $23,012,617",8.6,"2 hr 12 min
Comedy, Drama, Suspense/Thriller",Release Date: 8 November 2019 (USA) See more »," Reserved seating, 18+ or Accompanied by Adult, Korean with English Subtitles, "," Director:: Bong Joon Ho, Writers:: Bong Joon Ho, Bong Joon Ho, 2 more credits, Stars:: Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, See full cast & crew, ",0.6464646464646465,$15.49,6:15p,PARASITE (2019)1
29,"Gross USA: $23,012,617",8.6,"2 hr 12 min
Comedy, Drama, Suspense/Thriller",Release Date: 8 November 2019 (USA) See more »," Reserved seating, 18+ or Accompanied by Adult, Korean with English Subtitles, "," Director:: Bong Joon Ho, Writers:: Bong Joon Ho, Bong Joon Ho, 2 more credits, Stars:: Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, See full cast & crew, ",0.04040404040404041,$15.49,9:20p,PARASITE (2019)2
