,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,,,"PG, 2 hr 4 min
Comedy, Drama",,16:45:21.464747,,,,EMMA (2020)1
1,,,"PG, 2 hr 4 min
Comedy, Drama",,16:45:21.527190,,,,EMMA (2020)2
2,,,"PG, 2 hr 4 min
Comedy, Drama",,16:45:21.606420,,,,EMMA (2020)3
3,,,"PG, 2 hr 4 min
Comedy, Drama",,16:45:21.742540,,,,EMMA (2020)4
4,,,"PG, 2 hr 4 min
Comedy, Drama",,16:45:21.774714,,,,EMMA (2020)5
5,2275.62,138.0,"PG, 2 hr 4 min
Comedy, Drama",38.0,16:45:21.815408,0.2159090909090909,$16.49,5:30p,EMMA (2020)6
6,5144.879999999999,312.0,"PG, 2 hr 4 min
Comedy, Drama",47.0,16:45:32.109008,0.1309192200557103,$16.49,7:00p,EMMA (2020)7
7,2621.91,159.0,"PG, 2 hr 4 min
Comedy, Drama",17.0,16:45:42.677854,0.09659090909090909,$16.49,8:30p,EMMA (2020)8
8,5870.44,356.0,"PG, 2 hr 4 min
Comedy, Drama",3.0,16:45:52.854365,0.008356545961002786,$16.49,9:50p,EMMA (2020)9
9,,,"R, 1 hr 57 min
Drama",,16:46:03.193120,,,,BURDEN (2020)1
10,,,"R, 1 hr 57 min
Drama",,16:46:03.223912,,,,BURDEN (2020)2
11,,,"R, 1 hr 57 min
Drama",,16:46:03.268200,,,,BURDEN (2020)3
12,4930.509999999999,299.0,"R, 1 hr 57 min
Drama",5.0,16:46:03.295843,0.01644736842105263,$16.49,7:15p,BURDEN (2020)4
13,4996.469999999999,303.0,"R, 1 hr 57 min
Drama",1.0,16:46:13.342386,0.003289473684210526,$16.49,9:55p,BURDEN (2020)5
14,,,"R, 1 hr 44 min
Comedy, Drama",,16:46:23.186827,,,,GREED (2020)1
15,,,"R, 1 hr 44 min
Comedy, Drama",,16:46:23.228643,,,,GREED (2020)2
16,3265.0199999999995,198.0,"R, 1 hr 44 min
Comedy, Drama",20.0,16:46:23.258285,0.09174311926605505,$16.49,5:00p,GREED (2020)3
17,3512.37,213.0,"R, 1 hr 44 min
Comedy, Drama",5.0,16:46:33.381262,0.022935779816513763,$16.49,7:30p,GREED (2020)4
18,3594.8199999999997,218.0,"R, 1 hr 44 min
Comedy, Drama",0.0,16:46:43.109422,0.0,$16.49,10:00p,GREED (2020)5
19,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,16:46:52.983596,,,,THE INVISIBLE MAN (2020)1
20,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,16:46:53.011770,,,,THE INVISIBLE MAN (2020)2
21,11903.83,467.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",53.0,16:46:53.045655,0.10192307692307692,$25.49,7:00p,THE INVISIBLE MAN (2020)3
22,13076.369999999999,513.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",7.0,16:47:03.891626,0.013461538461538462,$25.49,10:00p,THE INVISIBLE MAN (2020)4
23,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,16:47:14.683432,,,,THE INVISIBLE MAN (2020)5
24,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,16:47:14.729802,,,,THE INVISIBLE MAN (2020)6
25,6728.46,254.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",43.0,16:47:14.759801,0.1447811447811448,$26.49,6:00p,THE INVISIBLE MAN (2020)7
26,6993.36,264.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",33.0,16:47:25.835447,0.1111111111111111,$26.49,9:00p,THE INVISIBLE MAN (2020)8
27,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,16:47:36.431062,,,,THE INVISIBLE MAN (2020)9
28,,,"1 hr 44 min
Action/Adventure, Animated",,16:47:36.547773,,,,MY HERO ACADEMIA: HEROES RISING1
29,3962.5,317.0,"1 hr 44 min
Action/Adventure, Animated",6.0,16:47:36.581743,0.018575851393188854,$12.50,7:30p,MY HERO ACADEMIA: HEROES RISING2
30,,,"1 hr 44 min
Action/Adventure, Animated",,16:47:46.863150,,,,MY HERO ACADEMIA: HEROES RISING3
31,4175.0,334.0,"1 hr 44 min
Action/Adventure, Animated",8.0,16:47:46.911755,0.023391812865497075,$12.50,10:00p,MY HERO ACADEMIA: HEROES RISING4
