,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,,,"PG, 2 hr 4 min
Comedy, Drama",,12:08:12.459629,,,,EMMA (2020)1
1,3347.47,203.0,"PG, 2 hr 4 min
Comedy, Drama",15.0,12:08:12.636507,0.06880733944954129,$16.49,1:15p,EMMA (2020)2
2,2522.97,153.0,"PG, 2 hr 4 min
Comedy, Drama",20.0,12:08:22.059201,0.11560693641618497,$16.49,3:15p,EMMA (2020)3
3,3363.9599999999996,204.0,"PG, 2 hr 4 min
Comedy, Drama",14.0,12:08:31.231819,0.06422018348623854,$16.49,4:15p,EMMA (2020)4
4,2358.0699999999997,143.0,"PG, 2 hr 4 min
Comedy, Drama",75.0,12:08:40.360243,0.3440366972477064,$16.49,7:15p,EMMA (2020)5
5,2424.0299999999997,147.0,"PG, 2 hr 4 min
Comedy, Drama",26.0,12:08:49.492237,0.15028901734104047,$16.49,9:15p,EMMA (2020)6
6,1764.4299999999998,107.0,"PG-13, 2 hr 1 min
Drama",252.0,12:08:58.861052,0.7019498607242339,$16.49,7:00p,FIRST COW1
7,,,"PG-13, 2 hr 1 min
Drama",,12:09:07.955843,,,,FIRST COW2
8,5375.74,326.0,"PG-13, 2 hr 1 min
Drama",16.0,12:09:07.995362,0.04678362573099415,$16.49,1:30p,FIRST COW3
9,2704.3599999999997,164.0,"PG-13, 2 hr 1 min
Drama",9.0,12:09:18.484235,0.05202312138728324,$16.49,3:45p,FIRST COW4
10,5029.45,305.0,"PG-13, 2 hr 1 min
Drama",37.0,12:09:27.428253,0.10818713450292397,$16.49,4:30p,FIRST COW5
11,2539.4599999999996,154.0,"PG-13, 2 hr 1 min
Drama",19.0,12:09:36.616937,0.10982658959537572,$16.49,6:15p,FIRST COW6
12,5507.66,334.0,"PG-13, 2 hr 1 min
Drama",8.0,12:09:46.256266,0.023391812865497075,$16.49,10:15p,FIRST COW7
13,,,"PG-13, 1 hr 40 min
Drama, Romance",,12:09:55.768935,,,,HOPE GAP1
14,4815.08,292.0,"PG-13, 1 hr 40 min
Drama, Romance",12.0,12:09:55.796225,0.039473684210526314,$16.49,12:30p,HOPE GAP2
15,4881.04,296.0,"PG-13, 1 hr 40 min
Drama, Romance",8.0,12:10:04.644233,0.02631578947368421,$16.49,3:30p,HOPE GAP3
16,4782.099999999999,290.0,"PG-13, 1 hr 40 min
Drama, Romance",14.0,12:10:13.824259,0.046052631578947366,$16.49,6:30p,HOPE GAP4
17,4979.98,302.0,"PG-13, 1 hr 40 min
Drama, Romance",2.0,12:10:23.772201,0.006578947368421052,$16.49,9:30p,HOPE GAP5
18,,,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",,12:10:33.128120,,,,ONWARD1
19,12770.49,501.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",19.0,12:10:33.171948,0.03653846153846154,$25.49,1:00p,ONWARD2
20,12107.75,475.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",45.0,12:10:42.956422,0.08653846153846154,$25.49,4:00p,ONWARD3
21,10425.41,409.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",111.0,12:10:52.028233,0.21346153846153845,$25.49,7:00p,ONWARD4
22,12948.92,508.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",12.0,12:11:01.728203,0.023076923076923078,$25.49,10:00p,ONWARD5
23,7602.629999999999,287.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",10.0,12:11:11.684932,0.03367003367003367,$26.49,12:00p,ONWARD6
24,6834.419999999999,258.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",39.0,12:11:20.688185,0.13131313131313133,$26.49,3:00p,ONWARD7
25,6278.129999999999,237.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",60.0,12:11:29.942779,0.20202020202020202,$26.49,6:00p,ONWARD8
26,6596.009999999999,249.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",48.0,12:11:39.196218,0.16161616161616163,$26.49,9:00p,ONWARD9
27,,,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",,12:11:48.496231,,,,ONWARD10
28,5260.3099999999995,319.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",4.0,12:11:48.534000,0.01238390092879257,$16.49,2:00p,ONWARD11
29,5276.799999999999,320.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",3.0,12:11:57.232215,0.009287925696594427,$16.49,5:00p,ONWARD12
30,5276.799999999999,320.0,"PG, 1 hr 43 min
Action/Adventure, Animated, Comedy, Sci-Fi/Fantasy",3.0,12:12:07.364940,0.009287925696594427,$16.49,8:00p,ONWARD13
31,,,"R, 1 hr 48 min
Drama",,12:12:16.706290,,,,THE WAY BACK (2020)1
32,5359.249999999999,325.0,"R, 1 hr 48 min
Drama",34.0,12:12:16.734174,0.0947075208913649,$16.49,1:00p,THE WAY BACK (2020)2
33,5342.759999999999,324.0,"R, 1 hr 48 min
Drama",35.0,12:12:26.684283,0.09749303621169916,$16.49,4:00p,THE WAY BACK (2020)3
34,3693.7599999999998,224.0,"R, 1 hr 48 min
Drama",118.0,12:12:36.060211,0.34502923976608185,$16.49,7:30p,THE WAY BACK (2020)4
35,3429.9199999999996,208.0,"R, 1 hr 48 min
Drama",10.0,12:12:45.484200,0.045871559633027525,$16.49,10:30p,THE WAY BACK (2020)5
