title,percent full
1917 (2019)1,0.8140703517587939
1917 (2019)2,0.346749226006192
1917 (2019)3,0.5672514619883041
1917 (2019)4,0.5634674922600619
1917 (2019)5,0.4064327485380117
1917 (2019)6,0.2291021671826625
1917 (2019)7,0.14912280701754385
1917 (2019)8,0.04024767801857585
1917 (2019)9,0.0
JUST MERCY2,0.24277456647398846
JUST MERCY3,0.2894736842105263
JUST MERCY4,0.10526315789473684
JUST MERCY5,0.09826589595375723
JUST MERCY6,0.0
JUST MERCY7,0.005780346820809247
LITTLE WOMEN (2019)1,0.5459610027855153
LITTLE WOMEN (2019)2,0.8384401114206128
LITTLE WOMEN (2019)3,0.7994428969359332
LITTLE WOMEN (2019)4,0.3426183844011142
LITTLE WOMEN (2019)5,0.0
CATS (2019)1,0.08333333333333333
CATS (2019)2,0.4558823529411765
CATS (2019)3,0.10294117647058824
CATS (2019)4,0.07352941176470587
STAR WARS: THE RISE OF SKYWALKER (2019)1,0.325
STAR WARS: THE RISE OF SKYWALKER (2019)2,0.0
STAR WARS: THE RISE OF SKYWALKER (2019)3,0.21923076923076926
STAR WARS: THE RISE OF SKYWALKER (2019)4,0.009615384615384616
STAR WARS: THE RISE OF SKYWALKER (2019)5,0.15151515151515152
STAR WARS: THE RISE OF SKYWALKER (2019)6,0.2760942760942761
STAR WARS: THE RISE OF SKYWALKER (2019)7,0.12121212121212123
STAR WARS: THE RISE OF SKYWALKER (2019)8,0.02693602693602693
STAR WARS: THE RISE OF SKYWALKER (2019)10,0.11363636363636365
STAR WARS: THE RISE OF SKYWALKER (2019)11,0.017045454545454544
STAR WARS: THE RISE OF SKYWALKER (2019)12,0.011363636363636364
BOMBSHELL (2019)2,0.6242774566473989
BOMBSHELL (2019)3,0.3005780346820809
BOMBSHELL (2019)4,0.05202312138728324
BOMBSHELL (2019)5,0.0
JUMANJI: THE NEXT LEVEL1,0.125
JUMANJI: THE NEXT LEVEL2,0.19653179190751446
JUMANJI: THE NEXT LEVEL3,0.01282051282051282
JUMANJI: THE NEXT LEVEL4,0.01282051282051282
RICHARD JEWELL1,0.05780346820809248
RICHARD JEWELL2,0.28205128205128205
UNCUT GEMS2,0.426605504587156
UNCUT GEMS3,0.5550458715596329
UNCUT GEMS4,0.1651376146788991
UNCUT GEMS5,0.0
KNIVES OUT1,0.5025125628140703
KNIVES OUT2,0.40703517587939697
KNIVES OUT3,0.2462311557788945
KNIVES OUT4,0.005025125628140704
