,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,1412.99,101.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",24.0,17:28:11.533614,0.192,$13.99,5:15p,THE INVISIBLE MAN (2020)1
1,671.52,48.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",77.0,17:28:24.494156,0.616,$13.99,8:15p,THE INVISIBLE MAN (2020)2
2,,,"PG-13, 1 hr 33 min
Comedy",,17:28:37.542812,,,,IMPRACTICAL JOKERS: THE MOVIE1
3,1357.03,97.0,"PG, 1 hr 40 min
Action/Adventure, Family",3.0,17:28:37.660149,0.03,$13.99,5:30p,SONIC THE HEDGEHOG1
4,1315.06,94.0,"PG, 1 hr 40 min
Action/Adventure, Family",6.0,17:28:50.498909,0.06,$13.99,8:00p,SONIC THE HEDGEHOG2
5,1538.9,110.0,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",5.0,17:29:03.618352,0.043478260869565216,$13.99,5:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)1
6,1440.97,103.0,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",12.0,17:29:16.286860,0.10434782608695652,$13.99,8:30p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)2
7,1301.07,93.0,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",7.0,17:29:30.047442,0.07,$13.99,7:30p,PARASITE (2019)1
